Timestamp,UTM_EASTING,UTM_NORTHING,H:CGVD2013(m),Depth
1654143833.283443,664921.4637212504,5564067.7927126745,21.331640986680984,6.4
1654143834.291028,664919.8444697125,5564069.881862203,21.330923644304278,6.4
1654143835.29869,664918.2004187114,5564071.9713010285,21.382443578720093,6.2
1654143836.290365,664916.5752618854,5564074.03193571,21.363893795490267,6.2
1654143837.298155,664914.9209281082,5564076.11472235,21.323238636016846,6.4
1654143838.30595,664913.2726326209,5564078.203581348,21.3485797495842,6.4
1654143839.297686,664911.6378946418,5564080.259879292,21.352153802633286,6.2
1654143840.305399,664909.9976949197,5564082.355906403,21.38316882991791,6.0
1654143841.313146,664908.389798143,5564084.488559675,21.34276853895187,5.8
1654143842.30487,664906.8124152168,5564086.568668756,21.33696208190918,5.9
1654143843.312595,664905.2243873342,5564088.710507591,21.309322594881056,5.7
1654143844.320348,664903.6461340158,5564090.855915605,21.294928352355956,5.7
1654143845.328186,664902.0601850051,5564092.96983836,21.338309069871904,5.8
1654143846.319793,664900.4998600766,5564095.060730308,21.34072331237793,5.9
1654143847.327559,664898.9025897641,5564097.203113315,21.322611733198165,5.9
1654143848.335317,664897.3194366884,5564099.353184666,21.305582781791685,5.8
1654143849.327171,664895.7478851582,5564101.466226533,21.282069079399108,5.9
1654143850.334876,664894.1696767492,5564103.615676022,21.285139918088912,6.0
1654143851.342547,664892.5993499794,5564105.763594533,21.33292895483971,6.1
1654143852.334333,664891.0700228373,5564107.886898304,21.37547632813454,5.8
1654143853.342182,664889.5437944962,5564110.067681091,21.39440872764587,5.8
1654143854.349853,664888.0218473831,5564112.221485971,21.402920440912247,5.7
1654143855.35756,664886.5173271026,5564114.399975837,21.415708322525024,5.5
1654143856.349348,664885.043018564,5564116.547329027,21.37896912717819,5.5
1654143857.357097,664883.5414000655,5564118.744483692,21.364860643386844,6.0
1654143858.34884,664882.0484246775,5564120.894664536,21.342,6.0
1654143859.356507,664880.5042737799,5564123.043632368,21.338832535266874,6.3
1654143860.364345,664878.9448774542,5564125.201080641,21.33573821115494,6.7
1654143861.38802,664877.356863015,5564127.379882663,21.340920801162717,6.2
1654143862.379782,664875.8092435453,5564129.476652954,21.398287601470948,6.2
1654143863.387574,664874.2606331492,5564131.644631965,21.422024260520935,6.4
1654143864.395229,664872.7430086484,5564133.817432751,21.4167058763504,6.5
1654143865.387159,664871.2475053278,5564135.9767707,21.399453977108003,6.5
1654143866.394754,664869.7352977055,5564138.164685045,21.373166722536087,6.5
1654143867.402574,664868.2219123968,5564140.3570353985,21.34848920321464,6.6
1654143868.410327,664866.7180898618,5564142.545219129,21.388478038311007,6.8
1654143869.402202,664865.209514305,5564144.683572881,21.384877981185916,7.2
1654143870.409859,664863.6834629085,5564146.851467925,21.370160282135007,7.5
1654143871.41753,664862.1167820243,5564149.044567096,21.355550601005554,7.7
1654143872.40897,664860.5701733495,5564151.178069092,21.38235176086426,7.3
1654143873.416534,664859.0353637055,5564153.35901274,21.397293864250184,7.6
1654143874.423687,664857.4875251129,5564155.545127916,21.391,7.6
1654143875.415289,664855.9988873064,5564157.698747103,21.40594248819351,7.6
1654143876.422577,664854.4730980769,5564159.911368633,21.370674231052394,7.6
1654143877.430484,664852.9625086271,5564162.12318871,21.34325016498566,7.6
1654143878.42226,664851.4963087002,5564164.297715975,21.38224513959885,7.6
1654143879.429863,664850.0010327129,5564166.526881006,21.36836082220077,7.7
1654143880.437765,664848.5243170016,5564168.752857407,21.363417881011966,7.6
1654143881.429407,664847.0794915165,5564170.953333127,21.345394068717955,7.6
1654143882.43714,664845.595072694,5564173.180634638,21.348837079524994,7.5
1654143883.444977,664844.1045401435,5564175.406872709,21.369374425888058,7.5
1654143884.436653,664842.6341005835,5564177.601877571,21.394166322231296,7.4
1654143885.44459,664841.116625186,5564179.831334655,21.427000490903854,7.4
1654143886.452294,664839.6201046995,5564182.033757483,21.449377058982847,7.4
1654143887.444111,664838.1710568835,5564184.2503846735,21.44491777801514,7.4
1654143888.451892,664836.7204714627,5564186.481340319,21.430143243312838,7.4
1654143889.459878,664835.2986503833,5564188.773136234,21.39354219675064,7.4
1654143890.451769,664833.9120887717,5564191.019741954,21.368152923583985,7.3
1654143891.459604,664832.4847346351,5564193.2929555485,21.35828722810745,7.3
1654143892.467663,664831.0704263906,5564195.5522604,21.370567010879515,7.2
1654143893.459587,664829.6473413008,5564197.782839528,21.358043806314466,7.1
1654143894.467461,664828.1950682459,5564200.00002859,21.381522538900377,7.1
1654143895.491376,664826.6900702522,5564202.263958381,21.37301926279068,7.2
1654143896.499345,664825.1992870668,5564204.50280396,21.4013598241806,7.1
1654143897.491297,664823.7327751908,5564206.696624988,21.38099481201172,7.2
1654143898.499279,664822.2697994632,5564208.966243767,21.38088865184784,7.0
1654143899.507216,664820.8293194106,5564211.249259881,21.363482784032822,7.1
1654143900.499368,664819.401184282,5564213.494731031,21.36003747177124,7.0
1654143901.507041,664817.9496520229,5564215.757778003,21.356340819358824,6.9
1654143902.499023,664816.5068171589,5564217.988884715,21.379126321315766,6.9
1654143903.506975,664815.0097940844,5564220.229241885,21.39275462388992,6.9
1654143904.514982,664813.5124439113,5564222.4951618705,21.412624909877774,6.9
1654143905.522801,664812.0279780375,5564224.762775186,21.44289275527001,6.9
1654143906.514751,664810.5918388496,5564227.000615333,21.384782222509383,6.8
1654143907.522661,664809.1298828167,5564229.300228326,21.34620605134964,6.9
1654143908.514785,664807.6901823772,5564231.550655039,21.335376074790954,6.8
