Northing,Easting,Lat (DD),Long (DD),Depth (Proc)
6768208.190,465604.954,61.0471658,-069.6368859,22.627
6768210.496,465606.003,61.0471866,-069.6368669,22.768
6768212.204,465606.261,61.0472019,-069.6368624,22.915
6768213.843,465607.741,61.0472168,-069.6368353,22.996
6768216.083,465609.075,61.0472370,-069.6368110,22.767
6768217.565,465609.594,61.0472504,-069.6368017,23.199
6768219.462,465611.388,61.0472676,-069.6367688,23.245
6768221.028,465612.480,61.0472817,-069.6367489,23.247
6768222.842,465612.968,61.0472980,-069.6367402,23.560
6768224.725,465614.240,61.0473151,-069.6367170,23.275
6768226.690,465614.983,61.0473328,-069.6367035,22.909
6768227.936,465615.525,61.0473440,-069.6366937,23.321
6768230.185,465616.633,61.0473643,-069.6366736,22.983
6768232.095,465616.438,61.0473814,-069.6366776,22.729
6768234.263,465617.251,61.0474009,-069.6366629,22.572
6768236.999,465618.138,61.0474256,-069.6366470,22.416
6768238.903,465618.617,61.0474427,-069.6366385,22.301
6768242.330,465617.930,61.0474734,-069.6366518,22.562
6768244.176,465619.111,61.0474901,-069.6366303,22.320
6768246.665,465619.757,61.0475125,-069.6366187,22.393
6768248.353,465620.074,61.0475277,-069.6366132,22.352
6768249.403,465621.046,61.0475372,-069.6365954,21.986
6768252.043,465620.685,61.0475608,-069.6366025,21.798
6768253.790,465620.817,61.0475765,-069.6366004,22.409
6768256.054,465621.718,61.0475969,-069.6365841,21.937
6768258.138,465622.620,61.0476157,-069.6365678,22.277
6768261.458,465621.844,61.0476455,-069.6365828,21.648
6768263.833,465623.712,61.0476670,-069.6365486,21.419
6768266.747,465624.659,61.0476932,-069.6365316,20.359
6768268.860,465625.305,61.0477122,-069.6365200,20.827
6768270.072,465625.970,61.0477232,-069.6365079,20.636
6768272.506,465627.098,61.0477451,-069.6364875,20.667
6768274.274,465627.774,61.0477610,-069.6364753,21.199
6768276.301,465629.279,61.0477794,-069.6364478,20.485
6768278.541,465629.341,61.0477995,-069.6364470,20.686
6768279.973,465630.389,61.0478124,-069.6364279,20.711
6768282.931,465630.773,61.0478390,-069.6364213,20.328
6768286.879,465631.038,61.0478745,-069.6364171,21.108
6768290.473,465632.233,61.0479069,-069.6363956,20.078
6768292.652,465633.288,61.0479265,-069.6363765,20.236
6768294.406,465634.035,61.0479423,-069.6363630,20.579
6768296.292,465633.756,61.0479592,-069.6363685,23.376
6768297.527,465636.039,61.0479705,-069.6363264,21.039
6768298.928,465636.313,61.0479831,-069.6363216,21.221
6768301.077,465636.551,61.0480024,-069.6363176,21.105
6768302.418,465637.182,61.0480145,-069.6363061,21.319
6768303.490,465637.134,61.0480241,-069.6363072,21.007
6768304.968,465637.427,61.0480374,-069.6363021,20.354
6768305.584,465638.414,61.0480431,-069.6362839,20.593
6768306.435,465638.834,61.0480507,-069.6362763,20.613
6768307.199,465639.738,61.0480577,-069.6362597,20.621
6768307.525,465640.333,61.0480606,-069.6362487,20.623
6768308.307,465641.293,61.0480677,-069.6362311,20.970
6768308.905,465641.491,61.0480731,-069.6362275,20.780
6768309.357,465642.219,61.0480773,-069.6362141,20.561
6768310.088,465642.533,61.0480838,-069.6362085,20.716
6768310.557,465642.927,61.0480881,-069.6362012,20.557
6768310.837,465643.605,61.0480907,-069.6361887,20.580
6768311.165,465644.072,61.0480936,-069.6361801,20.379
6768312.099,465644.456,61.0481021,-069.6361732,20.603
6768312.423,465644.567,61.0481050,-069.6361712,20.534
6768313.264,465644.748,61.0481126,-069.6361680,20.458
6768313.653,465644.789,61.0481160,-069.6361673,20.386
6768314.040,465645.038,61.0481195,-069.6361628,20.409
6768314.613,465645.201,61.0481247,-069.6361599,20.323
6768315.099,465645.110,61.0481291,-069.6361616,20.281
6768315.406,465645.038,61.0481318,-069.6361630,20.278
6768315.825,465644.619,61.0481355,-069.6361709,20.208
6768316.362,465643.791,61.0481403,-069.6361863,20.375
6768316.528,465643.183,61.0481417,-069.6361976,20.343
6768316.520,465642.716,61.0481416,-069.6362062,20.095
6768316.731,465642.028,61.0481434,-069.6362190,20.203
6768316.686,465641.335,61.0481430,-069.6362318,20.497
6768316.542,465640.470,61.0481416,-069.6362478,20.697
6768317.022,465639.611,61.0481458,-069.6362638,20.621
6768316.783,465638.631,61.0481436,-069.6362819,20.668
6768316.254,465637.862,61.0481388,-069.6362961,20.671
6768315.834,465637.087,61.0481350,-069.6363103,20.977
6768316.186,465636.292,61.0481380,-069.6363251,20.967
6768314.680,465635.021,61.0481244,-069.6363484,20.808
6768315.071,465634.858,61.0481279,-069.6363515,20.787
6768314.339,465633.344,61.0481212,-069.6363794,20.996
6768314.146,465632.840,61.0481194,-069.6363886,20.964
6768314.216,465631.563,61.0481199,-069.6364123,21.153
6768313.985,465631.001,61.0481178,-069.6364227,21.161
6768313.891,465630.140,61.0481169,-069.6364386,21.101
6768313.882,465629.131,61.0481167,-069.6364573,21.163
6768313.753,465628.641,61.0481155,-069.6364663,21.302
6768314.503,465627.645,61.0481222,-069.6364849,21.408
6768314.121,465626.874,61.0481187,-069.6364991,21.211
6768314.053,465625.323,61.0481179,-069.6365278,21.131
6768314.142,465624.724,61.0481187,-069.6365389,21.009
6768313.657,465624.054,61.0481143,-069.6365513,21.327
6768313.808,465622.892,61.0481155,-069.6365728,21.457
6768313.380,465622.352,61.0481116,-069.6365827,21.781
6768313.491,465621.360,61.0481126,-069.6366011,21.169
6768313.558,465620.420,61.0481131,-069.6366185,21.197
6768313.832,465619.170,61.0481154,-069.6366417,21.667
6768313.865,465618.353,61.0481156,-069.6366569,21.648
6768313.920,465617.301,61.0481160,-069.6366763,21.160
6768313.320,465616.058,61.0481105,-069.6366992,21.390
6768313.665,465615.940,61.0481136,-069.6367015,21.975
6768312.825,465615.032,61.0481060,-069.6367182,21.761
6768313.419,465615.028,61.0481113,-069.6367183,21.770
6768312.568,465613.256,61.0481036,-069.6367510,22.047
6768313.124,465612.581,61.0481085,-069.6367636,21.993
6768312.443,465611.726,61.0481023,-069.6367793,22.082
6768312.177,465610.118,61.0480998,-069.6368090,21.979
6768312.962,465609.510,61.0481068,-069.6368204,21.722
6768312.939,465609.206,61.0481065,-069.6368260,22.041
6768314.021,465607.558,61.0481161,-069.6368568,22.006
6768313.233,465607.247,61.0481090,-069.6368624,22.402
6768313.425,465605.915,61.0481106,-069.6368871,21.630
6768313.997,465605.463,61.0481157,-069.6368955,21.696
6768314.686,465604.860,61.0481218,-069.6369068,22.533
6768315.186,465603.971,61.0481262,-069.6369234,22.488
6768314.948,465602.864,61.0481240,-069.6369438,22.337
6768316.230,465602.291,61.0481355,-069.6369547,22.658
6768315.506,465601.214,61.0481289,-069.6369745,22.806
6768315.048,465599.096,61.0481246,-069.6370136,22.863
6768315.975,465598.328,61.0481328,-069.6370280,22.962
6768314.950,465597.405,61.0481236,-069.6370449,22.916
6768315.960,465595.246,61.0481324,-069.6370851,22.855
6768315.706,465595.120,61.0481301,-069.6370874,21.382
6768316.936,465592.653,61.0481410,-069.6371333,21.569
6768317.074,465592.305,61.0481422,-069.6371397,21.238
6768317.856,465590.598,61.0481490,-069.6371715,23.153
6768318.391,465589.446,61.0481537,-069.6371929,23.067
6768318.730,465588.060,61.0481567,-069.6372186,22.203
6768317.616,465587.690,61.0481466,-069.6372253,22.707
6768318.262,465584.924,61.0481522,-069.6372766,22.129
6768319.721,465584.563,61.0481653,-069.6372836,23.035
6768319.925,465581.954,61.0481669,-069.6373319,23.871
6768321.655,465579.306,61.0481822,-069.6373812,24.810
6768321.090,465578.973,61.0481771,-069.6373873,24.937
6768321.942,465576.075,61.0481845,-069.6374411,24.500
6768321.937,465573.940,61.0481842,-069.6374806,25.088
6768322.663,465572.143,61.0481906,-069.6375141,25.273
6768322.882,465571.264,61.0481925,-069.6375304,25.246
6768324.027,465568.409,61.0482025,-069.6375834,25.256
6768324.948,465566.246,61.0482106,-069.6376237,24.859
6768324.969,465566.005,61.0482108,-069.6376281,23.872
6768326.019,465563.048,61.0482199,-069.6376831,23.489
6768326.618,465561.819,61.0482252,-069.6377059,23.637
6768327.610,465559.573,61.0482339,-069.6377477,23.686
6768328.493,465556.799,61.0482416,-069.6377992,23.572
6768328.495,465555.224,61.0482415,-069.6378284,23.448
6768329.004,465552.803,61.0482458,-069.6378733,23.227
6768330.471,465551.574,61.0482589,-069.6378963,23.310
6768331.686,465548.033,61.0482695,-069.6379621,23.315
6768336.216,465542.325,61.0483096,-069.6380686,27.692
6768336.664,465540.237,61.0483135,-069.6381074,26.689
6768338.491,465538.098,61.0483297,-069.6381473,28.993
6768339.937,465536.448,61.0483425,-069.6381781,28.792
6768340.101,465533.370,61.0483437,-069.6382351,28.506
6768340.912,465531.336,61.0483508,-069.6382729,28.689
6768341.620,465530.009,61.0483571,-069.6382976,29.500
6768343.363,465526.706,61.0483724,-069.6383591,28.881
